,imname,n,row,col,area,mean,max,min
1,mutant_1_117-164.tif,1,0,1,2900,0.515501014198783,0.7176470588235294,0.3176470588235294
2,mutant_1_117-164.tif,4,0,4,3164,0.5475632730968494,0.7490196078431373,0.3333333333333333
3,mutant_1_117-164.tif,3,0,3,2617,0.5258603250241632,0.7215686274509805,0.3333333333333333
4,mutant_1_117-164.tif,2,0,2,2368,0.5252351616322205,0.7058823529411765,0.3647058823529412
5,mutant_1_117-164.tif,6,0,6,1910,0.5532614721281183,0.7490196078431373,0.3764705882352941
6,mutant_1_117-164.tif,5,0,5,2094,0.5664831357566905,0.7411764705882353,0.4
8,mutant_1_117-164.tif,8,1,2,2872,0.5305218744879567,0.7294117647058824,0.3568627450980392
9,mutant_1_117-164.tif,12,1,6,2199,0.5396980802325477,0.7294117647058824,0.35294117647058826
10,mutant_1_117-164.tif,10,1,4,2411,0.5156578101999821,0.7294117647058824,0.34509803921568627
12,mutant_1_117-164.tif,11,1,5,2724,0.5169430767901875,0.7411764705882353,0.3333333333333333
13,mutant_1_117-164.tif,9,1,3,2183,0.5248830086317623,0.7176470588235294,0.3176470588235294
14,mutant_1_117-164.tif,7,1,1,1738,0.5406845822333536,0.7019607843137254,0.392156862745098
15,mutant_1_117-164.tif,15,2,3,3029,0.5095281559305795,0.7215686274509805,0.3254901960784314
16,mutant_1_117-164.tif,13,2,1,2896,0.5223323583577076,0.6862745098039216,0.34509803921568627
17,mutant_1_117-164.tif,14,2,2,1718,0.5141523431258418,0.6980392156862746,0.3411764705882353
18,mutant_1_117-164.tif,17,2,5,1945,0.5142335803215888,0.7333333333333333,0.3254901960784314
19,mutant_1_117-164.tif,18,2,6,2704,0.5263763197586727,0.7176470588235294,0.3411764705882353
21,mutant_1_117-164.tif,16,2,4,1370,0.5034578502934021,0.7254901960784313,0.32941176470588235
22,mutant_1_117-164.tif,24,3,6,2576,0.513740713676775,0.6980392156862746,0.3333333333333333
23,mutant_1_117-164.tif,22,3,4,2931,0.4963788039951566,0.7058823529411765,0.3098039215686275
24,mutant_1_117-164.tif,19,3,1,1869,0.5123889256076962,0.6901960784313725,0.33725490196078434
25,mutant_1_117-164.tif,20,3,2,2195,0.4697020858457278,0.6862745098039216,0.2901960784313725
27,mutant_1_117-164.tif,23,3,5,2414,0.4895722663547606,0.6980392156862746,0.2980392156862745
28,mutant_1_117-164.tif,21,3,3,1749,0.47112635791881075,0.6941176470588235,0.30588235294117655
29,mutant_1_117-164.tif,25,4,1,2814,0.42723497359142665,0.6352941176470588,0.24313725490196078
30,mutant_1_117-164.tif,27,4,3,2883,0.4771486673059789,0.6705882352941176,0.3254901960784314
31,mutant_1_117-164.tif,29,4,5,1997,0.5177157893703299,0.6941176470588235,0.3411764705882353
32,mutant_1_117-164.tif,30,4,6,2230,0.5050452826870658,0.6980392156862746,0.3568627450980392
33,mutant_1_117-164.tif,26,4,2,2462,0.46528248992529586,0.6431372549019607,0.2823529411764706
34,mutant_1_117-164.tif,28,4,4,1771,0.491028664430199,0.6784313725490196,0.3333333333333333
